,VISIT_AREA_NM,SI,Dong_Eup,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,X_COORD,Y_COORD
123,상효원수목원,서귀포,상효동,1,88.84615384615384,0.0384615384615384,2.1153846153846154,126.584635,33.30595838
124,제주시민속오일시장,제주,도두일동,4,57.27272727272727,0.2727272727272727,0.9090909090909092,126.4754837,33.49724097
125,휘닉스제주 유민미술관,서귀포,성산읍,3,57.27272727272727,0.1818181818181818,1.0,126.9322309,33.42919718
126,로봇플래닛,서귀포,안덕면,3,112.5,0.0,2.75,126.3083072,33.29659857
127,서부두수산시장,제주,건입동,4,66.0,0.0,1.4,126.5299314,33.51704566
128,노을해안1014,제주,한경면,5,100.0,0.1666666666666666,3.0,126.1685584,33.29768602
129,서귀포향토오일시장,서귀포,동홍동,4,36.0,0.4,3.0,126.5738072,33.26707968
130,산물관광농원,서귀포,남원읍,3,55.71428571428572,0.0,2.7142857142857144,126.6246915,33.25786673
131,제주문화예술진흥원 제주문예회관,제주,일도2동,3,96.0,0.4,1.2,126.5352076,33.50458394
132,건강과성박물관,서귀포,안덕면,2,63.0,0.0,0.9,126.346663,33.25489914
133,표선해수욕장,서귀포,표선면,1,61.11111111111112,0.1851851851851851,1.2962962962962965,126.8374248,33.32751092
134,오설록티뮤지엄 서광차밭,서귀포,안덕면,1,30.0,0.25,2.0,126.2879708,33.30687021
135,서부농업기술센터,제주,한림읍,3,41.25,0.125,2.125,126.248682,33.35368786
136,제주커피박물관 바움,서귀포,성산읍,2,45.0,0.0,0.75,126.8991899,33.43990753
137,제주도립미술관,제주,연동,3,37.5,0.0,0.5,126.4896447,33.45258465
138,너븐숭이4.3기념관,제주,조천읍,2,30.0,0.2,1.2,126.6886562,33.54599701
139,신세계사이먼 제주프리미엄전문점,서귀포,안덕면,4,64.0,0.6,1.6,126.317576,33.30663512
140,아라리오뮤지엄 탑동시네마,제주,삼도이동,3,56.66666666666666,0.0,0.4444444444444444,126.5233917,33.51739573
141,감귤박물관,서귀포,신효동,2,54.375,0.125,1.5,126.607467,33.27156161
142,한라생태숲,제주,용강동,1,101.25,0.125,2.125,126.5976996,33.43129334
143,본태박물관,서귀포,안덕면,2,92.3076923076923,0.0769230769230769,0.5384615384615384,126.3924797,33.3037709
144,서귀포예술의전당,서귀포,서홍동,3,57.27272727272727,0.4545454545454545,0.4545454545454545,126.5507905,33.24633333
145,사진놀이터,제주,애월읍,3,64.28571428571429,0.1428571428571428,1.5714285714285714,126.4417351,33.45675002
146,이마트 제주점,제주,삼도2동,4,38.0,0.2,1.2,126.5213197,33.51796837
147,롯데마트 제주점,제주,노형동,4,51.42857142857143,0.4285714285714285,1.8571428571428568,126.4818478,33.48243476
148,소길별하,제주,애월읍,2,66.0,0.0,1.0,126.3757759,33.42983943
149,제주월드컵경기장,서귀포,법환동,5,105.0,0.25,1.0,126.5093811,33.24615163
150,세화민속오일시장,제주,구좌읍,4,44.21052631578947,0.2631578947368421,1.3157894736842106,126.8574647,33.52591225
151,검멀레해변,제주,우도면,1,31.0,0.1666666666666666,2.0,126.9669025,33.49717101
152,중문회어시장,서귀포,색달동,4,30.0,0.25,1.75,126.403934,33.25925856
153,제주허브동산,서귀포,표선면,1,81.0,0.1,1.4,126.8151851,33.33039389
154,제주성읍마을,서귀포,표선면,7,57.0,0.25,2.4,126.8014989,33.38495973
155,걸어가는늑대들 전이수갤러리,제주,조천읍,3,70.0,0.1666666666666666,0.5,126.6724492,33.54260488
156,선녀와나무꾼 테마공원,제주,조천읍,6,72.0,0.2,3.1,126.7037786,33.47879294
157,드르쿰다in성산,서귀포,성산읍,6,96.66666666666669,0.0,1.4444444444444444,126.9190809,33.4445023
158,산지등대,제주,건입동,2,45.0,0.5,1.25,126.5456105,33.52142459
159,ICC제주국제컨벤션센터,서귀포,중문동,3,130.9090909090909,0.3636363636363636,2.636363636363636,126.4244399,33.24131911
160,고성오일시장,서귀포,성산읍,4,30.0,0.0,0.8,126.9133003,33.45199259
161,서복전시관,서귀포,서귀동,3,37.5,0.25,0.5,126.5708889,33.24491119
162,안녕성산,서귀포,성산읍,1,36.0,0.0,1.2,126.9345365,33.46189538
163,한라산아래첫마을,서귀포,안덕면,7,73.5,0.15,1.2,126.3795496,33.32820916
164,장한철 생가,제주,애월읍,2,45.0,0.0,0.75,126.309983,33.46246998
165,숨도,서귀포,호근동,6,78.0,0.0,1.4,126.536521,33.25045551
166,제주스위스마을,제주,조천읍,7,37.5,0.0,0.75,126.6767733,33.49394448
167,다이소 제주동문시장점,제주,일도1동,4,37.5,0.25,0.25,126.5265139,33.51289975
168,소인국테마파크,서귀포,안덕면,6,78.0,0.2,3.0,126.3225515,33.29056052
169,스카이워터쇼,제주,구좌읍,3,81.42857142857143,0.0,3.4285714285714284,126.7430381,33.42410967
170,보롬왓,서귀포,표선면,6,72.0,0.0,2.2,126.7524958,33.41349708
171,제주 세계자연유산센터,제주,조천읍,3,60.0,0.5,1.0,126.7147213,33.45688437
172,해변산책,제주,애월읍,7,55.71428571428572,0.2857142857142857,1.5714285714285714,126.3080135,33.4520466
173,노형수산시장,제주,노형동,4,112.5,0.0,2.5,126.473086,33.48038006
174,거린사슴 전망대,서귀포,대포동,1,30.0,0.1428571428571428,1.7142857142857142,126.4545632,33.3074571
175,아프리카박물관,서귀포,대포동,2,70.0,0.1666666666666666,1.1666666666666667,126.4293493,33.23974044
176,산방사,서귀포,안덕면,2,42.0,0.2,1.2,126.3125303,33.2369576
177,혼인지,서귀포,성산읍,1,48.0,0.2,2.2,126.8937741,33.41519517
178,마노르블랑,서귀포,안덕면,6,73.33333333333333,0.2222222222222222,0.8888888888888888,126.2949908,33.25481888
179,기당미술관,서귀포,서홍동,3,41.25,0.375,0.125,126.5511971,33.24488858
180,박물관은살아있다 제주중문점,서귀포,색달동,2,66.0,0.4,1.2,126.408741,33.25492848
181,더마파크,제주,한림읍,3,72.0,0.2,2.4,126.244325,33.35413025
182,선물고팡 함덕점,제주,조천읍,4,36.0,0.0,1.8,126.6630989,33.54381497
183,삼무공원,제주,연동,1,45.0,0.5,0.25,126.5092014,33.2483545
184,루나폴,서귀포,안덕면,6,94.28571428571428,0.0,2.2857142857142856,126.3222855,33.25413393
185,피규어뮤지엄제주,서귀포,안덕면,3,50.0,0.1111111111111111,1.3333333333333333,126.3553565,33.28190641
186,서귀다원,서귀포,상효동,1,75.0,0.0,1.25,126.5969205,33.3121479
187,유채꽃프라자,서귀포,표선면,1,65.45454545454545,0.2727272727272727,1.818181818181818,126.731674,33.39370483
188,바이나흐튼 크리스마스박물관,서귀포,안덕면,2,42.85714285714285,0.0,1.2857142857142858,126.3278579,33.29157208
189,레이저아레나 엑스 제주점,서귀포,상예동,5,67.5,0.0,2.0,126.385571,33.26367546
190,휴애리자연생활공원,서귀포,남원읍,1,97.5,0.25,2.05,126.3104683,33.45932345
191,물의도시 베니스랜드,서귀포,성산읍,1,60.0,0.0,0.75,126.8407062,33.41527182
192,중문회포장센터 새벽야시장,서귀포,대포동,4,67.5,0.25,0.75,126.4292831,33.24662854
193,제주야구인의마을,서귀포,색달동,7,247.5,1.0,2.0,126.4155338,33.28104264
194,오늘은녹차한잔,서귀포,표선면,1,78.0,0.0,3.4,126.7909911,33.3818346
