TRAVEL_ID,MVMN_SE,PAYMENT_SE,PAYMENT_SEQ,MVMN_SE_NM,PAYMENT_NUM,BRNO,STORE_NM,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
c_c011777,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,40000,
c_c009096,50,교통비,0,버스 + 지하철,1,,,,,25550,
c_c002655,50,교통비,0,버스 + 지하철,2,,,,,12200,
c_c007473,1,통행료,0,자가용(승용/승합/트럭 등등),1,,,,,5200,
c_c003052,1,주유비,0,자가용(승용/승합/트럭 등등),5,,,,,50000,
c_c005489,1,주유비,12,자가용(승용/승합/트럭 등등),2,1248522141,대보유통(주)화성(상)주유소,2022-10-16 14:00:00.000,1,49538,주유비
a_a000202,1,통행료,0,자가용(승용/승합/트럭 등등),3,,,,,12800,
c_c013769,8,교통비,0,새마을/무궁화열차,2,,,,,40000,기차표
c_c000125,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,19000,
c_c001879,50,교통비,0,버스 + 지하철,1,,,,,2400,
c_c003477,4,교통비,4,택시,2,4188102362,(유)삼흥택시,2022-10-16 13:24:00.000,1,4600,택시비
c_c012185,50,교통비,0,버스 + 지하철,1,,,,,27200,
c_c002759,1,주유비,11,자가용(승용/승합/트럭 등등),2,2208119698,(주)유성티앤에스,2022-09-23 17:25:00.000,1,50000,주유비
c_c002862,1,주차비,12,자가용(승용/승합/트럭 등등),2,2148645634,한국전자금융㈜,2022-09-27 09:59:00.000,1,2800,주차비
c_c013549,1,통행료,0,자가용(승용/승합/트럭 등등),1,,,,,9000,
c_c001706,1,주차비,0,자가용(승용/승합/트럭 등등),3,,,,,1000,
c_c006905,1,주유비,11,자가용(승용/승합/트럭 등등),3,3191100410,제일주유소,2022-10-22 12:32:00.000,1,30000,주유비
c_c002849,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,30000,
c_c009278,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,30000,
c_c014400,50,교통비,0,버스 + 지하철,3,,,,,45700,
c_c013007,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,40000,
c_c000623,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,94370,
c_c000306,50,교통비,0,버스 + 지하철,1,,,,,1100,
c_c004265,1,통행료,0,자가용(승용/승합/트럭 등등),1,,,,,16400,
c_c009353,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,20000,
c_c004839,10,교통비,11,배/선박,2,3048101782,충주호유람선(주),2022-10-11 14:47:00.000,1,26000,유람선 승선권
c_c005174,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,100000,
c_c013848,50,교통비,0,버스 + 지하철,1,,,,,1500,
c_c003268,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,50000,
c_c008760,1,주차비,0,자가용(승용/승합/트럭 등등),4,,,,,3000,
c_c001877,4,교통비,14,택시,2,4171913758,개인택시,2022-08-25 20:10:00.000,1,5500,택시비
c_c002564,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,94000,
c_c002781,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,50000,
c_c004653,1,주차비,0,자가용(승용/승합/트럭 등등),3,,,,,4500,
c_c006521,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,30400,
c_c001032,2,주유비,0,렌터카(승용/승합/버스 등등),2,,,,,35000,
c_c007585,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,30000,
c_c005367,50,교통비,0,버스 + 지하철,1,,,,,7300,
c_c000203,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,90000,
c_c008913,1,주차비,0,자가용(승용/승합/트럭 등등),1,,,,,5000,
c_c008933,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,40000,
c_c001407,50,교통비,0,버스 + 지하철,1,,,,,2500,
c_c003164,1,통행료,0,자가용(승용/승합/트럭 등등),9,,,,,60000,
c_c012801,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,30000,
c_c009384,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,3850,
c_c002594,50,교통비,0,버스 + 지하철,2,,,,,5700,
c_c009128,50,교통비,0,버스 + 지하철,1,,,,,13900,
c_c003796,4,교통비,2,택시,1,4188102402,한일교통,2022-10-16 11:13:00.000,1,4900,택시비
c_c012160,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,50000,
c_c009302,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,10200,
b_b007549,10,교통비,11,배/선박,1,3048101782,충주호유람선(주),2022-10-22 15:51:00.000,1,15000,유람선 승선권
c_c001206,1,통행료,0,자가용(승용/승합/트럭 등등),3,,,,,3400,
c_c003068,50,교통비,0,버스 + 지하철,1,,,,,12650,
c_c008931,4,교통비,1,택시,3,3018101895,로카모빌리티테스트,2022-11-05 15:02:00.000,1,7900,택시비
c_c011485,1,통행료,0,자가용(승용/승합/트럭 등등),3,,,,,8200,
c_c011589,4,교통비,1,택시,2,,,2022-10-30 11:28:00.000,1,4900,택시비
c_c014309,1,통행료,0,자가용(승용/승합/트럭 등등),3,,,,,8400,
c_c005736,50,교통비,0,버스 + 지하철,2,,,,,5400,
c_c003033,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,4200,
c_c009330,4,교통비,0,택시,3,,,,,12000,
c_c008758,7,교통비,0,KTX/SRT(고속열차),1,,,,,90700,기차표
c_c001196,12,교통비,12,시외/고속버스,2,3128104553,(주)아라리오,2022-08-23 00:00:00.000,1,12500,버스비
c_c002278,1,통행료,0,자가용(승용/승합/트럭 등등),6,,,,,6000,
c_c000233,1,주차비,0,자가용(승용/승합/트럭 등등),4,,,,,3000,
c_c005869,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,50000,
c_c006656,4,교통비,3,택시,1,1298638970,(주)이비카드,2022-10-15 13:04:00.000,1,4800,택시비
c_c000759,4,교통비,4,택시,4,4170655097,,2022-09-04 14:06:00.000,1,6800,택시비
c_c001060,1,주유비,11,자가용(승용/승합/트럭 등등),4,1248522141,대보유통(주)화성(상)주유소,2022-08-26 19:03:00.000,1,50000,주유비
c_c013776,4,교통비,0,택시,2,,,,,50000,
c_c010100,12,교통비,11,시외/고속버스,1,1048183559,주식회사 티머니,2022-10-29 16:47:00.000,1,5400,버스비
c_c000435,8,교통비,0,새마을/무궁화열차,1,,,,,35800,기차표
c_c009064,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,11584,
c_c000509,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,80921,
c_c002093,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,20000,
c_c005799,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,50000,
c_c011364,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,15000,
c_c003345,4,교통비,1,택시,2,,,2022-10-05 00:00:00.000,1,11500,택시비
c_c008166,4,교통비,1,택시,4,,,2022-10-21 18:22:00.000,1,7100,
c_c007541,1,주유비,11,자가용(승용/승합/트럭 등등),2,6958501876,부안(목포)주유소,2022-10-29 12:15:00.000,1,63000,주유비
