TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
d002913,11,남,30,6,1,1,1,3,,4,,2,1,42,42210,42,42150,43,43110,4,4,1,6,7,1,6,7,서울특별시,충북,나홀로 여행,2022-10-14~2022-10-15,4,2,10,0
c010064,11,여,20,6,1,1,1,2,,4,,3,5,50,50110,42,42150,42,42210,2,2,3,3,1,3,7,6,서울특별시,대전,2인 여행(가족 외),2022-10-29~2022-10-30,1,2,3,1
c002926,29,남,20,6,1,1,4,13,,2,4,2,1,26,26350,28,28710,46,46130,2,2,2,6,2,6,2,6,광주광역시,전남,3인 이상 여행(가족 외),2022-09-29~2022-09-29,3,1,2,3
c005340,29,남,40,6,1,2,4,2,,12,12,2,2,46,46130,45,45130,50,50110,2,3,2,4,3,3,4,4,광주광역시,전남,자녀 동반 여행,2022-10-23~2022-10-23,3,2,1,3
c012390,45,여,20,6,1,1,4,2,,3,7,2,3,11,11170,26,26350,30,30170,6,2,6,1,2,6,6,7,전라북도,대전,2인 여행(가족 외),2022-11-05~2022-11-05,7,3,1,1
c011837,30,남,30,6,1,2,2,3,,6,6,2,1,44,44710,43,43730,26,26440,2,1,2,5,4,6,2,2,대전광역시,전북,부모 동반 여행,2022-10-29~2022-10-29,3,1,2,3
c013408,41,여,20,6,1,1,4,2,,4,6,3,6,50,50130,26,26500,46,46130,4,2,1,3,5,5,6,7,경기도,충북,2인 여행(가족 외),2022-11-05~2022-11-06,3,1,5,1
c001167,41,남,40,6,1,1,4,3,,5,10,2,2,27,27710,11,11200,29,29200,6,3,3,3,1,3,3,2,경기도,광주,나홀로 여행,2022-08-24~2022-08-26,4,8,1,0
c011970,30,여,20,6,1,1,1,2,,4,,2,1,42,42150,43,43130,26,26350,4,1,2,4,4,5,4,5,대전광역시,충북,나홀로 여행,2022-11-05~2022-11-06,5,2,1,0
c012078,45,남,20,6,2,1,7,12,,2,5,3,5,11,11440,30,30140,29,29155,4,7,4,5,7,5,3,6,전라북도,전북,3인 이상 여행(가족 외),2022-10-31~2022-10-31,2,3,6,13
c001884,41,여,30,6,1,2,2,5,,2,4,3,5,50,50130,42,42210,42,42150,1,2,2,3,3,3,1,7,경기도,전남,2인 가족 여행,2022-08-27~2022-08-28,3,1,2,4
c007712,26,여,20,6,1,1,1,10,,4,,3,4,50,50110,26,26350,42,42150,2,2,1,5,6,4,2,7,부산광역시,전남,2인 여행(가족 외),2022-10-18~2022-10-18,1,7,2,0
c000428,41,여,30,5,1,2,3,,1,1,5,2,1,45,45130,11,11440,44,44180,3,4,4,2,3,3,4,3,경기도,전북,3인 이상 여행(가족 외),2022-08-28~2022-08-29,2,8,3,2
c008889,41,여,30,5,1,1,1,3,,4,,1,2,41,41590,26,26350,30,30200,5,6,3,3,4,4,2,6,경기도,충남,2인 여행(가족 외),2022-11-05~2022-11-05,1,2,7,1
c003045,43,여,20,7,2,1,1,12,,2,,3,2,50,50110,41,41590,11,11215,6,1,1,6,7,4,6,2,충청북도,세종,나홀로 여행,2022-09-24~2022-09-24,2,1,7,0
c003952,29,남,30,6,1,2,4,3,,8,12,2,1,26,26350,48,48310,46,46130,4,4,4,4,4,4,4,4,광주광역시,전남,자녀 동반 여행,2022-10-08~2022-10-09,3,,,3
c009269,45,여,20,5,1,1,4,4,,4,7,3,6,46,46130,11,11680,26,26350,4,2,2,2,6,3,2,6,전라북도,전남,2인 여행(가족 외),2022-10-22~2022-10-22,1,2,5,1
c000326,29,남,30,6,1,1,1,2,,6,,2,1,46,46130,46,46110,11,11680,5,1,4,3,3,5,6,5,광주광역시,전남,2인 가족 여행,2022-08-20~2022-08-22,3,2,4,1
c014426,29,남,30,5,1,1,3,13,,5,6,3,4,46,46130,46,46840,41,41570,3,3,3,3,1,5,5,7,광주광역시,전남,나홀로 여행,2022-11-13~2022-11-13,5,8,1,0
c003862,29,여,20,6,2,1,3,12,,1,8,2,1,46,46130,26,26350,42,42830,5,6,4,5,3,3,2,7,광주광역시,전남,부모 동반 여행,2022-10-02~2022-10-02,2,1,3,2
c006441,11,남,40,6,1,2,2,1,,11,12,3,4,50,50130,26,26350,42,42150,4,2,2,2,4,4,3,6,서울특별시,전남,2인 가족 여행,2022-10-21~2022-10-23,2,1,3,1
c004405,41,남,30,6,1,1,2,4,,2,4,3,2,42,42210,46,46110,48,48840,1,2,3,6,5,3,2,2,경기도,전북,나홀로 여행,2022-10-25~2022-10-26,2,1,7,0
c002237,43,남,20,6,1,1,3,4,,3,7,3,5,48,48250,47,47110,26,26260,4,4,4,4,5,5,5,5,충청북도,전남,2인 여행(가족 외),2022-09-25~2022-09-26,1,6,,1
