COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,a_a003183,8,1,3,1
9,a_a000556,7,1,5,3
1,a_a005660,1,2,5,1
1,a_a001310,8,1,4,1
2,a_a008748,2,2,1,1
1,a_a005234,1,2,4,1
4,a_a015033,2,1,1,1
2,a_a003013,2,2,1,1
3,a_a003353,10,1,5,3
3,a_a000954,7,2,3,1
1,a_a009766,8,2,3,1
1,a_a001827,7,2,4,3
3,a_a003406,3,2,7,1
2,a_a010966,2,2,2,1
2,a_a011147,7,1,5,1
8,a_a006638,10,1,2,1
1,a_a003938,8,1,3,3
1,a_a006277,1,2,5,1
1,a_a006355,7,2,3,1
1,a_a011091,8,2,4,1
3,a_a002060,2,1,1,1
2,a_a004767,1,1,4,1
3,a_a010291,7,2,4,3
1,a_a000065,1,1,5,1
1,a_a010948,7,1,6,1
1,a_a003952,1,1,5,1
1,a_a018093,7,1,3,3
1,a_a007180,8,1,3,1
1,a_a004570,1,1,5,1
1,a_a017632,7,1,3,1
1,a_a011521,1,1,5,1
1,a_a009387,1,1,5,1
1,a_a002650,2,1,5,1
4,a_a007127,11,2,1,1
2,a_a004853,2,2,4,1
2,a_a013785,2,1,4,1
2,a_a005705,7,2,4,1
2,a_a007924,2,1,1,1
3,a_a014196,2,1,1,1
1,a_a006660,8,2,3,1
1,a_a003694,2,2,2,1
1,a_a005205,3,2,7,1
1,a_a006799,1,1,4,1
1,a_a005750,7,2,3,1
4,a_a003236,6,2,1,1
2,a_a005212,2,2,1,1
2,a_a007171,3,2,6,1
1,a_a007167,7,1,3,1
1,a_a017915,8,2,3,1
1,a_a001514,1,2,5,1
4,a_a015110,10,1,2,1
1,a_a009405,5,2,3,1
1,a_a001130,7,1,3,1
3,a_a006463,2,1,5,1
1,a_a011234,8,1,3,1
1,a_a005458,1,1,4,1
1,a_a000019,9,1,3,1
1,a_a000923,7,2,4,1
1,a_a006197,1,1,8,1
2,a_a002830,2,1,2,1
4,a_a003011,5,2,4,1
1,a_a003207,9,1,3,3
1,a_a002279,1,1,5,1
2,a_a001765,2,2,5,1
1,a_a001879,8,2,3,1
1,a_a002497,9,1,5,1
1,a_a015308,8,1,3,1
1,a_a001241,1,1,7,1
3,a_a004807,3,2,7,1
1,a_a000416,1,2,6,1
2,a_a015110,10,2,2,1
1,a_a015305,1,1,5,1
1,a_a007418,1,2,4,1
2,a_a000013,7,2,2,1
3,a_a011386,7,2,4,1
6,a_a000019,11,2,3,1
1,a_a002201,8,2,3,1
5,a_a010570,6,2,5,2
1,a_a005206,8,1,4,1
1,a_a001037,1,2,5,1
1,a_a017905,8,1,3,3
1,a_a003305,8,2,3,1
1,a_a010489,1,2,4,1
1,a_a004311,1,2,3,1
2,a_a000588,7,2,3,2
2,a_a006230,2,1,1,1
1,a_a002631,7,2,3,3
3,a_a015373,2,1,1,1
10,a_a009658,6,1,1,3
1,a_a000658,1,1,6,1
1,a_a004106,1,2,4,1
1,a_a005662,1,1,4,1
4,a_a001277,6,1,1,1
2,a_a006986,7,2,3,1
4,c_c003014,2,1,1,1
2,a_a006707,2,2,2,1
2,a_a002480,7,2,4,1
14,a_a000556,11,2,1,3
2,a_a005083,11,1,4,1
1,a_a007600,7,2,6,1
2,b_b011659,2,2,2,1
1,a_a002170,7,1,4,3
6,a_a008021,7,1,2,1
3,a_a000376,7,1,3,3
1,a_a001251,1,2,4,1
1,a_a017882,1,2,6,1
1,a_a015373,1,1,5,1
1,a_a006662,8,1,4,1
1,a_a002885,1,2,4,1
3,a_a003871,5,2,4,1
4,a_a000318,7,1,4,3
17,a_a003353,10,2,3,3
1,a_a000706,7,1,4,3
2,a_a001736,2,2,4,1
3,a_a000414,7,1,3,3
1,a_a001896,8,2,4,1
2,a_a015329,11,1,2,1
1,a_a005397,7,2,4,1
