TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
d_d003442,2210060006,2,0,,세탁세제;파인애플;김치;파마산치즈;우유;트롤브루레몬;카스제로;아사히슈퍼드라이;솔티드몽블랑;부드러운베지믹스;깐마늘;폰타나올리브유;풀무원올리브유발사믹;스파게티면;삼다수;곰표밀맥주;종량봉투;휘핑크림;샤인머스캣,N,1,
d_d009113,2211010004,1,1,,더비치크랩 제주공항점,N,2,
d_d000039,2208160003,1,0,,오름 망고패션에이드,N,1,
b_b004846,2210020001,1,0,,2인세트B(슈니첼;케제슈페츨레;굴라쉬;카바노치;빵);유자에이드,Y,1,
d_d002217,2210120003,5,1,,,,,
d_d004945,2210180004,2,0,,아이쇼핑(인형;엽서;키링;악세사리),N,5,
d_d006848,2210210003,2,0,,제주꿀빵,N,1,
d_d007799,2210280002,5,2,,,,,
d_d001994,2210010001,4,0,,,,,
d_d009414,2211060004,1,0,,롯데리아 모짜렐라인더버거,N,1,
d_d005571,2211060007,1,0,,고기짬뽕;사천해물짜장,N,1,
b_b014101,2210290004,2,2,,치킨팝콘,N,1,
d_d003799,2211100008,5,0,,,,,
d_d002198,2210080008,5,0,,,,,
d_d003685,2210090002,1,0,,과일샌드;카이막;베이글,N,1,
d_d000871,2209040002,4,1,,,,,
d_d007728,2210290006,4,1,,,,,
d_d002835,2210040002,4,0,,,,,
d_d004191,2210260006,2,0,,주차번호판,N,1,
b_b005863,2210090007,5,1,,,,,
d_d000721,2208310009,5,0,,,,,
a_a000559,2208210008,4,0,,,,,
d_d007793,2210250004,5,2,,,,,
d_d002472,2210030004,7,1,,,,,
d_d007391,2210270007,5,0,,,,,
d_d000419,2208250006,7,0,,,,,
a_a008137,2210290002,4,1,,,,,
d_d007492,2210240008,3,0,,식물원 및 동굴 관람,Y,1,2
d_d010354,2211050006,1,1,,고등어묵은지,N,1,
d_d004040,2210300001,2,1,,주유,N,5,
d_d001454,2209190002,4,0,,,,,
d_d002040,2210220010,4,0,,,,,
d_d006136,2210160004,3,5,,입장료,Y,1,2
d_d009054,2210290008,7,0,,,,,
d_d003543,2210060005,5,0,,,,,
d_d009681,2211040003,5,3,,,,,
d_d000039,2208140007,1,0,,감귤탕수육 간짜장  보말짬뽕,Y,1,
d_d004982,2210230003,5,1,,,,,
d_d010107,2211040003,2,1,,기념품구매,N,1,
d_d008039,2210300006,7,0,,,,,
b_b004441,2210030001,1,0,,아이스 아메리카노,N,1,
d_d000812,2208280006,3,0,,섭지코지 관광,N,5,2
d_d000283,2208250003,1,0,,전복돌솥밥 3개;해물뚝배기 2개;성게미역국 1개,Y,1,
d_d002852,2210300001,7,1,,,,,
d_d008026,2210270005,1,0,,모듬회 소,N,2,
d_d000806,2209070002,1,0,,한라봉초코우도넛,N,1,
d_d002773,2210260001,1,0,,치킨;짬뽕,N,1,
a_a000660,2209030003,1,0,,커피;케이크,N,1,
d_d001605,2210030003,2,0,,치즈케이크,Y,5,
d_d011394,2211050003,3,0,,순환기차;산책로걷기;노천족욕,Y,1,2
d_d002697,2210280002,4,0,,,,,
d_d001875,2210030003,3,4,,청귤 따기 체험,N,5,1
d_d009294,2211050003,3,0,,스누피 캐릭터 관련 경치 관람,Y,1,2
d_d000660,2209020004,2,0,,푸딩;컵,N,5,
d_d001364,2209100004,1,0,,카페라떼 땅콩아이스크림,N,1,
d_d003147,2210300004,5,1,,,,,
d_d009414,2211050002,4,0,,,,,
d_d001862,2210210003,7,0,,,,,
b_b005963,2210020007,4,1,,,,,
c_c002779,2209230002,7,1,,,,,
d_d004982,2210240002,1,0,,순대국,N,1,
d_d002242,2210050006,5,0,,,,,
d_d003731,2210100008,5,0,,,,,
d_d001504,2209260004,5,4,,,,,
d_d009933,2211030003,2,1,,휴대폰케이스,N,1,
d_d001041,2208290004,99,0,,,,,
d_d009294,2211040002,5,0,,,,,
d_d000554,2209080002,2,1,,쌍화탕,N,1,
d_d001850,2209270002,7,0,,,,,
d_d001881,2210080001,4,0,,,,,
d_d008070,2210280002,1,0,,한우명품팩,N,1,
d_d002450,2210300001,1,0,,고등어덮밥;흑돼지덮밥,N,1,
