TRAVEL_ID,MVMN_SE,PAYMENT_SE,PAYMENT_SEQ,MVMN_SE_NM,PAYMENT_NUM,BRNO,STORE_NM,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
b_b008019,1,통행료,0,자가용(승용/승합/트럭 등등),1,,,,,23000,
b_b006880,4,교통비,1,택시,2,2261159263,,2022-10-30 22:23:00.000,1,4000,택시비
b_b000533,1,주차비,0,자가용(승용/승합/트럭 등등),1,,,,,1700,
b_b011572,8,교통비,1,새마을/무궁화열차,1,3148210024,한국철도공사,2022-10-28 10:04:00.000,1,7500,기차표 
b_b005817,50,교통비,0,버스 + 지하철,1,,,,,62900,
b_b015464,1,주차비,0,자가용(승용/승합/트럭 등등),1,,,,,200,
b_b004482,1,통행료,0,자가용(승용/승합/트럭 등등),3,,,,,24200,
b_b004863,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,30000,
b_b015893,1,통행료,0,자가용(승용/승합/트럭 등등),3,,,,,4400,
b_b014156,1,통행료,0,자가용(승용/승합/트럭 등등),5,,,,,53600,
b_b000128,2,주차비,0,렌터카(승용/승합/버스 등등),2,,,,,8300,
b_b015622,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,8800,
b_b007729,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,33000,
b_b004215,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,53910,
b_b015882,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,3500,
b_b011272,50,교통비,0,버스 + 지하철,1,,,,,2400,
b_b000167,7,교통비,2,KTX/SRT(고속열차),1,3148210024,한국철도공사,2022-08-03 11:46:00.000,1,25100,기차표 어른1매
b_b008322,8,교통비,0,새마을/무궁화열차,2,,,,,30000,기차표
b_b007935,1,통행료,0,자가용(승용/승합/트럭 등등),1,,,,,7900,
b_b002662,50,교통비,0,버스 + 지하철,1,,,,,19800,
b_b005212,4,교통비,1,택시,2,2278100394,양양콜택시주식회사,2022-09-29 12:17:00.000,1,22200,택시비
b_b003094,1,주차비,0,자가용(승용/승합/트럭 등등),3,,,,,700,
b_b000604,1,통행료,0,자가용(승용/승합/트럭 등등),3,,,,,35000,
b_b004069,11,교통비,0,관광버스,9,,,,,450000,
b_b007940,4,교통비,0,택시,1,,,,,4600,
b_b002660,7,교통비,1,KTX/SRT(고속열차),2,3148210024,한국철도공사,2022-08-12 00:00:00.000,1,31300,기차표 어른1매
