TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
a_a001251,가평프리미엄키즈풀빌라,2,3,Y,2022-08-26 00:00:00.000,2022-08-28 00:00:00.000,3,1138521083,엔에이치엔한국사이버결제 주식회사,서울 구로구 디지털로26길 72,서울 구로구 구로동 222-22,4148327,1153010200,2022-08-07 20:37:00.000,1,748000,
a_a002369,서부티앤디,10,1,,,,2,1068527420,(주)서부티엔디,서울 용산구 청파로20길 95,서울 용산구 한강로3가 40-969,4106354,1117012800,2022-09-19 06:56:00.000,1,84600,호텔비
a_a000293,스테이온디엣지 풀램핑,0,5,Y,2022-08-17 00:00:00.000,2022-08-19 00:00:00.000,4,,,경기 가평군 청평면 남이터길 52-35,경기 가평군 청평면 대성리 산 185-243,,,,4,530000,
a_a002239,서울신라호텔,0,1,Y,2022-09-25 00:00:00.000,2022-09-26 00:00:00.000,1,,,서울 중구 동호로 249,,,,,4,600000,
a_a000100,해밀한옥게스트하우스,0,7,Y,2022-08-13 00:00:00.000,2022-08-15 00:00:00.000,4,,,율곡로 10길 15-14,,,,,1,240300,
a_a000412,호텔이쁘다,1,1,Y,2022-08-20 00:00:00.000,2022-08-21 00:00:00.000,5,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022-08-08 10:02:00.000,1,138000,양주 이쁘다
a_a002274,더드림호텔,1,1,Y,2022-10-02 00:00:00.000,2022-10-03 00:00:00.000,2,7428600224,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004,1168010500,2022-09-22 10:42:00.000,3,40000,MO-포천더드림 - 디럭스
a_a008115,더스테이트 선유,1,1,Y,2022-10-19 00:00:00.000,2022-10-20 00:00:00.000,1,7428600224,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004,1168010500,2022-10-15 00:00:00.000,1,84510,HO-[단독특가] 슈페리어
a_a002027,어거스트캠핑장,0,5,Y,2022-09-23 00:00:00.000,2022-09-24 00:00:00.000,3,,,경기 포천시 가산면 우금3길 142-29,경기 포천시 가산면 우금리 48-10,,,,4,190000,
a_a010235,포시즌스호텔서울,10,1,,,,1,1048529650,포시즌스호텔서울,서울 종로구 새문안로 97,,3005004,1111011700,2022-10-27 13:50:00.000,1,133000,호텔비
a_a002372,호텔씨하이,0,1,N,2022-09-25 00:00:00.000,2022-09-25 00:00:00.000,2,,,경기 시흥시 오이도로135번길 72,경기 시흥시 정왕동 2031-5,,,,,0,
a_a000070,신라스테이 광화문,0,1,Y,2022-08-12 00:00:00.000,2022-08-15 00:00:00.000,4,,,,,,,,1,692000,
a_a005698,용문산야영장,0,5,Y,2022-10-23 00:00:00.000,2022-10-24 00:00:00.000,1,,,경기 양평군 용문면 용문산로 684,경기 양평군 용문면 신점리 531-2,,,,5,35000,
a_a003436,엠앤럭키호텔,0,1,Y,2022-09-25 00:00:00.000,2022-09-26 00:00:00.000,1,,,서울 종로구 수표로22길 38,서울 종로구 돈의동 155,,,,5,50000,
