TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
c_c002095,자바호텔,0,1,Y,2022-09-17 00:00:00.000,2022-09-18 00:00:00.000,4,,,대전 중구 중앙로109번길 36,대전 중구 선화동 236-20,,,,1,150000,
c_c000195,노블레스호텔,0,1,Y,2022-08-17 00:00:00.000,2022-08-18 00:00:00.000,1,,,전남 순천시 장선배기2길 12,전남 순천시 조례동 1590-7,,,,1,28000,
c_c002396,마음속의집,2,3,Y,2022-09-16 00:00:00.000,2022-09-17 00:00:00.000,2,,마음속의집,,,,,2022-09-01 09:03:00.000,3,110000,숙박비
c_c003348,소노벨 변산,1,4,Y,2022-10-07 00:00:00.000,2022-10-08 00:00:00.000,2,4048506163,(주)소노인터내셔널 변산지점,전북 부안군 변산면 변산해변로 51,전북 부안군 변산면 격포리 257,3280037,4580036022,2022-10-08 08:23:00.000,3,122000,
c_c007622,베스트인시티호텔,0,1,Y,2022-10-22 00:00:00.000,2022-10-23 00:00:00.000,2,,,전북 전주시 덕진구 용산3길 33,전북 전주시 덕진구 금암동 462-8,,,,1,100000,
c_c001077,포레스트리솜,0,4,Y,2022-09-04 00:00:00.000,2022-09-06 00:00:00.000,4,,,충북 제천시 백운면 금봉로 365,충북 제천시 백운면 평동리 707,,,,,0,
c_c002163,온양온천랜드,0,11,N,2022-09-21 00:00:00.000,2022-09-22 00:00:00.000,1,,,충남 아산시 삼동로28번길 46,충남 아산시 모종동 583-7,,,,1,12000,
c_c006041,주노글램핑 완주점,0,5,Y,2022-10-22 00:00:00.000,2022-10-22 00:00:00.000,4,,,전북 완주군 비봉면 천호로 235-38,전북 완주군 비봉면 봉산리 539-2,,,,1,258000,
c_c001418,호텔 라그라스,1,1,Y,2022-09-03 00:00:00.000,2022-09-04 00:00:00.000,1,2208742885,(주)야놀자,,,,,2022-08-30 00:00:00.000,1,80000,아산 호텔 라그라스 호텔비
c_c007615,애견펜션 돌봄,10,3,,,,5,,애견펜션 돌봄,통샘길 256-5,,,,,3,40000,
c_c007527,속리산 숲체험휴양마을,1,9,Y,2022-10-29 00:00:00.000,2022-10-30 00:00:00.000,3,8158100527,나이스페이먼츠 주식회사,서울 마포구 마포대로 217,서울 마포구 아현동 686,2113001,1144010100,2022-10-24 22:51:00.000,1,120000,
c_c001776,이틀모텔,1,2,Y,2022-08-27 00:00:00.000,2022-08-28 00:00:00.000,1,7428600224,(주)위드이노베이션,서울 강남구 봉은사로 479,서울 강남구 삼성동 51-2,3122004,1168010500,2022-08-19 00:00:00.000,1,42250,[10%할인]홍성 이틀모텔(충남모텔/홍성/예산/청양);모텔비
c_c004075,황실관광호텔,0,1,Y,2022-09-29 00:00:00.000,2022-09-30 00:00:00.000,3,,,전북 전주시 완산구 은행로 22,,,,,1,54000,
c_c001392,여수우두펜션,0,3,Y,2022-08-23 00:00:00.000,2022-08-24 00:00:00.000,7,,,전남 여수시 돌산읍 진두해안길 100,전남 여수시 돌산읍 우두리 787-1,,,,1,182000,
