COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
2,b_b006580,2,1,1,1
1,b_b002697,1,1,7,1
1,b_b006488,8,2,3,1
2,b_b006725,2,2,1,1
11,b_b015565,7,1,3,1
1,b_b017827,1,1,6,1
6,b_b000463,6,1,6,1
6,b_b002258,7,1,4,1
1,b_b002543,1,1,4,1
2,b_b003303,7,2,4,1
2,b_b004632,2,2,2,1
2,b_b015091,3,1,6,1
2,b_b003310,7,2,4,3
1,b_b004699,8,1,3,2
1,b_b007532,1,2,4,1
2,b_b009929,7,2,4,3
12,b_b004838,11,2,1,3
1,b_b000155,7,1,3,1
1,b_b007636,1,2,4,1
3,b_b009513,11,1,5,2
1,b_b010909,3,1,8,1
1,b_b011214,8,1,3,1
7,b_b004811,6,2,5,1
1,b_b000637,3,2,6,1
2,b_b007458,2,1,2,1
2,b_b002723,7,2,3,3
1,b_b001073,2,2,1,2
1,b_b005094,1,1,7,1
1,b_b011232,8,2,4,1
2,b_b011131,3,2,8,1
1,b_b003985,1,2,5,1
2,b_b004601,2,1,2,1
4,b_b010747,2,2,1,1
1,b_b004107,7,2,6,1
2,b_b007482,2,2,2,1
2,b_b003863,7,1,4,1
2,b_b008262,2,2,3,1
2,b_b000930,2,1,1,1
7,b_b000223,6,1,6,3
3,b_b001564,7,1,3,1
4,b_b009557,3,2,8,1
3,b_b011039,2,1,1,1
2,b_b000064,7,2,4,1
1,b_b003938,1,1,5,1
2,b_b005261,2,1,2,1
1,b_b007989,8,1,3,3
1,b_b006333,1,1,5,1
2,b_b004838,2,2,1,1
1,b_b004656,2,2,3,3
3,b_b014853,7,2,5,1
1,b_b000685,8,1,3,1
3,b_b003668,5,1,3,1
3,b_b000155,7,1,3,1
3,b_b006162,2,2,1,1
8,b_b004069,7,1,7,1
7,b_b002503,6,1,6,2
3,b_b000041,10,1,4,1
2,b_b001065,9,1,5,1
5,b_b002190,11,1,1,3
1,b_b012011,8,2,3,1
1,b_b012030,8,2,3,1
2,b_b007900,2,1,4,1
2,b_b015671,2,2,1,1
1,b_b003324,1,2,4,1
1,b_b001967,3,1,5,1
1,b_b014827,3,1,7,3
1,b_b004912,9,2,4,2
1,b_b009761,8,2,3,1
2,b_b001588,1,1,7,3
1,b_b001984,7,2,3,1
2,b_b006095,9,1,5,1
2,b_b013698,2,2,2,1
1,b_b000525,7,1,4,1
1,b_b010793,7,2,3,1
3,b_b015860,2,2,1,1
1,b_b001935,8,1,3,1
3,b_b000317,2,2,1,1
6,b_b001223,7,1,1,3
3,b_b004609,6,2,1,1
1,b_b006448,1,2,5,1
1,b_b005039,7,1,3,3
7,b_b000463,6,2,6,3
1,b_b000177,2,1,5,2
7,b_b018605,10,1,7,3
3,b_b008314,6,1,2,1
1,b_b000577,7,1,3,1
4,b_b004328,2,1,2,1
1,b_b005747,7,1,3,1
2,b_b002691,7,2,3,1
2,b_b011039,2,1,1,1
1,b_b003524,7,2,3,1
6,b_b011951,2,2,2,1
2,b_b003881,6,1,5,1
1,b_b005102,1,1,6,1
1,b_b008272,8,1,4,1
1,b_b012325,1,1,6,1
1,b_b011422,7,2,3,1
2,b_b005993,7,1,3,2
