TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
d_d012334,D01,d012334,22;,2022-11-10,2022-11-11,,,22;,2;22;24
c_c002033,D02,c002033,2;27;3;4;6;,2022-09-25,2022-09-27,자가용,,2;27;3;4;6;,23;5;2
d_d000564,D01,d000564,21;22;5;,2022-08-19,2022-08-21,대중교통 등,,21;22;5;,21;22;5
d_d009799,D01,d009799,22;25;27;28;8;,2022-10-31,2022-11-03,자가용,,22;25;27;28;8;,8;25;27
d_d001601,D01,d001601,2;22;23;27;,2022-09-22,2022-09-26,대중교통 등,39세 이하 커플 여행,2;22;23;27;,23;2;22
d_d010172,D01,d010172,2;22;24;26;27;,2022-11-05,2022-11-08,대중교통 등,,2;22;24;26;27;,2;24;22
d_d007396,D01,d007396,2;22;23;26;6;,2022-10-22,2022-10-25,대중교통 등,39세 이하 부부 여행,2;22;23;26;6;,2;22;23
d_d012347,D01,d012347,1;11;21;26;,2022-11-13,2022-11-14,,,1;11;21;26;,26;21;6
d_d004498,D01,d004498,22;24;26;,2022-10-22,2022-10-26,자가용,,22;24;26;,22;24;28
d_d002709,D01,d002709,5;22;24;,2022-10-28,2022-10-31,자가용,,5;22;24;,22;24;2
d_d005156,D01,d005156,21;22;26;9;,2022-10-20,2022-10-26,대중교통 등,,21;22;26;9;,26;22;21
d_d009956,D01,d009956,22;6;,2022-10-31,2022-11-03,대중교통 등,39세 이하 커플 여행,22;6;,1;6;5
d_d002382,D01,d002382,1;12;2;22;7;,2022-10-03,2022-10-06,대중교통 등,,1;12;2;22;7;,1;2;7
c_c004042,D02,c004042,21;22;,2022-10-03,2022-10-04,,,21;22;,22;4;24
d_d009925,D01,d009925,2;22;6;,2022-10-29,2022-11-01,자가용,39세 이하 커플 여행,2;22;6;,22;2;3
c_c001916,D02,c001916,1;22;23;26;4;,2022-09-25,2022-09-27,자가용,,1;22;23;26;4;,23;22;21
d_d000909,D01,d000909,1;2;3;4;5;,2022-08-23,2022-08-27,대중교통 등,39세 이하 커플 여행,1;2;3;4;5;,2;6;22
a_a002904,D02,a002904,2;22;26;3;,2022-09-25,2022-09-26,자가용,,2;22;26;3;,3;22;12
d_d003260,D01,d003260,4;3;,2022-10-07,2022-10-11,대중교통 등,,4;3;,3;4;2
d_d004550,D01,d004550,2;5;22;,2022-10-21,2022-10-25,대중교통 등,39세 이하 커플 여행,2;5;22;,22;2;7
d_d009519,D01,d009519,11;21;23;9;,2022-10-29,2022-10-31,자가용,,11;21;23;9;,21;23;11
d_d004506,D01,d004506,22;10;2;7;,2022-11-04,2022-11-07,자가용,,22;10;2;7;,10;22;26
d_d005930,D01,d005930,22;23;4;,2022-10-17,2022-10-19,자가용,,22;23;4;,22;23;26
a_a000967,D02,a000967,1;2;22;23;4;,2022-08-20,2022-08-22,자가용,수도권 거주 40세 이상 자녀 동반,1;2;22;23;4;,22;23;11
d_d005410,D01,d005410,1;10;2;21;23;,2022-10-12,2022-10-17,자가용,,1;10;2;21;23;,2;21;23
