TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
a_a009543,2210160004,1,6,,호두과자(타임빌라스 내 잣품은 그집 호두과자),N,1,
a_a003378,2210100002,4,2,,,,,
a_a000407,2208200001,4,0,,,,,
b_b009669,2210300006,1,0,,콜드블루아메리카노,N,1,
a_a000796,2208230004,1,0,,체리콕;아이스홍차,Y,1,
a_a017981,2211130002,5,2,,,,,
a_a003366,2210030005,2,0,,빵7종,N,5,
a_a003421,2210010003,5,1,,,,,
a_a012120,2210290004,1,0,,흑임자크림 카페라떼,Y,1,
a_a006718,2210090002,1,0,,베트남  요리,N,1,
a_a010135,2210210005,5,0,,,,,
a_a008693,2210150004,3,0,,청와대입장,Y,5,2
a_a000704,2209030018,1,0,,이탈리안소세지&볼로네제 피자,N,1,
a_a002394,2209170004,1,0,,소곱창,N,1,
a_a000334,2208190003,3,1,,계곡 물놀이,N,5,
a_a009833,2210220004,5,1,,,,,
a_a001575,2209030008,2,0,,물,N,1,
a_a001621,2209190002,1,0,,돈까스,N,1,
a_a003016,2210030006,1,0,,부채살 스테이크와 볼로냐파스타;우삼겹 된장찌개;새로소주;청하,N,2,
a_a000369,2208200004,1,4,,고기(바베큐) 구워먹음,Y,4,
a_a004076,2210230001,4,2,,,,,
a_a005012,2210110016,1,0,,핫크리스피 치킨,N,1,
a_a001953,2209200005,3,1,,용문산 등반. 용문사-가섭봉-장군봉-상원사 이동,N,5,1;2
b_b012022,2211060001,1,0,,젤라또크로플;아메리카노,N,1,
a_a002158,2209170006,1,0,,흑돼지모둠,N,1,
a_a003121,2209240002,4,1,,,,,
a_a008427,2210160003,1,0,,아이스초코라떼,N,1,
a_a003323,2210080007,3,0,,판다소리듣기;판다 대나무 먹는 모습보기,Y,5,2
a_a001765,2209180001,1,1,,만두국,Y,1,
a_a000491,2208190009,3,0,,웃는남자 뮤지컬 관람,Y,1,2
a_a003984,2210020007,4,0,,,,,
a_a003065,2210020003,3,1,,세미원 장독대분수 및 약속의정원 관람,N,1,2
a_a002679,2209300004,5,0,,,,,
a_a000108,2208260002,4,0,,,,,
a_a011358,2210260002,1,0,,잡채밥 소룡포 군만두 냉홍차,N,1,
a_a010287,2210210001,1,1,,아침 조식,Y,4,
a_a003363,2210020004,2,1,,옷,N,1,
a_a006344,2210150005,4,0,,,,,
a_a003136,2209250002,7,0,,,,,
a_a002782,2210030003,4,4,,,,,
a_a007389,2210230003,1,0,,커플콤보;김치필라프;사이다,N,1,
a_a002033,2209110012,1,0,,얼큰순두부탕;안동소주 22도;치즈감자전,N,1,
a_a008325,2210310001,4,0,,,,,
a_a000123,2208140005,1,0,,곰탕 쌀면곰탕,N,1,
a_a001981,2209090005,5,1,,,,,
a_a015411,2210300004,7,0,,주차장,N,5,
a_a001764,2209110002,4,0,,,,,
a_a000338,2208250001,1,3,,까스동;돈코츠라멘;사이다,Y,1,
a_a003335,2210090004,1,0,,카라이멘;꿍팟퐁커리(새우커리덮밥),N,1,
a_a002064,2209080002,5,0,,,,,
a_a001828,2210030010,3,1,,입장관람,Y,5,2
a_a006434,2210070003,4,0,,,,,
a_a003117,2210030002,1,0,,칼국수 2개;만두 1개,N,1,
a_a014786,2211060004,1,0,,피자;파스타;스테이크;음료,N,1,
a_a004976,2210080004,2,0,,양말,N,1,
a_a002286,2209210005,1,0,,내장탕,N,1,
a_a010155,2210200004,5,1,,,,,
a_a009891,2210210006,2,1,,붕어빵,N,5,
a_a011392,2210290004,5,1,,,,,
a_a010328,2210220004,5,2,,,,,
d_d004095,2210220006,1,1,,보누 사시미;처음처럼;차돌박이 짬뽕나베,Y,1,
a_a005390,2210020004,2,1,,주유,N,1,
a_a014382,2211010001,2,6,,양말,Y,1,
a_a011430,2210290003,3,1,,못난이 유원지;개인상점;예술작품 감상,N,5,2
a_a002602,2209300005,5,1,,,,,
a_a004768,2210080003,3,0,,박물관관람,N,5,2
a_a013594,2210300002,5,8,,,,,
a_a004719,2210050003,4,0,,,,,
a_a006412,2210090005,6,1,,네일케너,Y,1,
a_a002933,2209240003,4,0,,,,,
a_a003774,2210230003,1,0,,송편마들렌 바질마들렌,N,1,
a_a001617,2209080006,4,1,,,,,
a_a000212,2208190001,1,0,,새우튀김. 브리또. 감자튀김. 사이다.,N,1,
a_a006972,2210230004,7,0,,,,,
a_a006769,2210200003,4,1,,,,,
a_a003192,2210240004,5,0,,,,,
a_a003185,2210010005,4,2,,,,,
a_a010568,2210220002,1,2,,바로구운빵,N,4,
a_a002493,2209170002,7,0,,,,,
a_a003075,2210020001,2,1,,꽈배기,N,1,
a_a010085,2210210002,4,1,,,,,
a_a002810,2209230004,4,1,,,,,
a_a004739,2210020005,1,0,,캔맥주;과자 두 봉,N,1,
a_a001712,2209170005,5,1,,,,,
a_a008349,2210150005,2,1,,담은막걸리 2병;소월미주 1병;청명주 1병,N,1,
a_a002481,2210020002,1,0,,감바스;소금닭갈비;맥주;삼겹살;오이고추;무짱아치;커피,Y,4,
a_a000110,2208280003,1,0,,아이스아메리카노;안동쌀휘낭시에,N,1,
a_a002121,2209130004,99,0,,,,,
a_a000198,2208160004,5,0,,,,,
a_a004324,2210080006,1,0,,갈릭크로플;카페라떼;아메리카노,Y,1,
a_a002480,2210020005,4,0,,,,,
a_a007302,2210230003,1,0,,푸드코트(김치볶음밥;돈까스 등),N,1,
a_a008247,2210160002,2,0,,엽서,N,5,
a_a014835,2211020004,1,1,,음료 등,N,1,
a_a002671,2210100004,7,0,,,,,
a_a005831,2210100003,4,1,,,,,
a_a001584,2208290003,3,5,,족욕하며 꽃차마시기,Y,5,1
a_a000260,2208190004,6,0,,환경정화 및 물놀이,N,5,
a_a004472,2210010010,1,0,,아이스 아메리카노,N,1,
a_a001999,2209220002,4,1,,,,,
a_a000809,2209030003,1,0,,와규테이크샐러드;비프타코;맥주;콜라,Y,1,
a_a002282,2210030004,1,0,,커피,N,1,
a_a002848,2209240004,1,0,,아이스 아메리카노,N,1,
a_a003481,2210010004,5,0,,,,,
a_a000675,2209030007,2,0,,목살 및 바베큐 용품,N,1,
b_b006019,2210110003,7,1,,,,,
a_a000946,2209020008,3,0,,사진찍기,N,1,1
a_a002258,2209240007,6,0,,머리 컷트,Y,1,
a_a002819,2209280004,4,1,,,,,
a_a017981,2211130003,4,2,,,,,
a_a004542,2210230003,2,1,,옷;가방,N,5,
a_a000198,2208170004,1,2,,와플샵에서 플레인크로플,N,2,
a_a000975,2208240006,3,0,,청와대 관람,Y,5,
a_a002902,2209240004,1,0,,코스요리,Y,4,
a_a006880,2210220007,1,0,,와플,N,1,
a_a002974,2209240005,4,1,,,,,
a_a006114,2210030006,5,1,,,,,
a_a012504,2211030005,3,0,,장줄리앙 전시회,Y,1,2
