COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,c_c006441,1,2,4,1
1,c_c003177,8,1,4,1
3,c_c001946,2,1,1,1
1,c_c004247,1,2,5,1
3,c_c012568,2,2,1,1
2,c_c001797,7,2,3,3
3,c_c000623,7,2,4,1
1,c_c002148,7,2,3,1
1,c_c003918,5,2,4,1
2,c_c002834,7,2,3,1
4,c_c005248,11,2,1,1
2,c_c000799,7,1,3,1
1,c_c013621,8,1,3,3
1,c_c009687,6,2,4,3
2,c_c006400,2,2,1,1
1,c_c002369,1,1,7,1
1,c_c003087,8,1,3,1
5,c_c000303,3,2,7,3
1,c_c012342,1,2,4,1
3,c_c003800,5,1,4,1
2,c_c004096,7,2,3,1
1,c_c006347,8,2,3,1
1,c_c001308,1,2,6,1
1,c_c002597,9,2,5,1
3,c_c000806,7,1,3,1
1,c_c013843,3,2,7,3
2,c_c003133,7,2,4,1
1,c_c006909,2,2,4,3
1,c_c003255,7,2,4,1
3,c_c001992,11,1,1,3
5,c_c000159,7,2,4,3
1,c_c012625,8,2,4,3
2,c_c000230,7,2,4,1
1,c_c014170,1,2,5,1
1,c_c005993,8,2,3,1
2,c_c009891,7,2,3,1
2,c_c002925,2,2,4,1
1,c_c008938,1,1,4,1
2,c_c012876,2,2,1,1
3,c_c008933,2,2,1,1
2,c_c006087,2,2,2,1
1,c_c009298,8,1,5,1
2,a_a000202,2,1,1,1
3,b_b007926,2,2,1,1
1,c_c014157,7,2,4,3
1,c_c002258,7,2,3,3
1,c_c000935,1,2,4,1
2,c_c005115,11,1,1,1
3,c_c002414,6,1,8,3
3,c_c006453,2,1,1,1
2,c_c004076,7,1,3,1
1,c_c000375,1,2,4,1
2,c_c000312,2,2,3,1
2,c_c012197,7,1,4,1
1,c_c006359,8,1,4,1
1,c_c007956,1,1,6,1
3,c_c012385,2,2,2,1
2,c_c008277,4,2,8,1
2,c_c004855,2,1,1,1
7,c_c000635,1,2,4,1
1,c_c010912,7,2,5,1
1,c_c013787,1,2,4,1
