COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
4,d_d004976,2,1,1,1
10,d_d000755,10,2,3,1
4,b_b000823,1,1,5,1
1,d_d008022,1,1,4,1
6,d_d000755,10,1,3,3
2,d_d005405,2,1,2,1
3,d_d001356,2,2,2,1
5,a_a000007,2,2,2,1
1,b_b002037,1,1,6,3
1,d_d000423,8,1,3,1
2,d_d008161,2,2,1,1
3,d_d003751,2,2,1,1
1,d_d000470,8,1,3,1
1,b_b003032,1,1,4,1
4,a_a002295,2,2,1,1
3,d_d009805,2,2,1,1
1,a_a005813,8,2,3,1
1,b_b012110,5,1,3,1
3,c_c002006,5,2,3,1
3,c_c002687,7,1,5,3
2,c_c003664,2,2,3,1
3,b_b004621,7,1,7,1
1,d_d006186,3,2,7,1
3,d_d006136,2,2,2,1
1,d_d005896,1,1,5,1
1,d_d003075,1,2,4,1
2,c_c004805,2,1,2,1
1,d_d003969,8,1,3,1
1,d_d000607,1,2,4,1
4,d_d011384,3,1,7,1
1,b_b004936,8,1,3,1
2,d_d000892,5,2,4,1
3,d_d001307,5,1,3,1
2,d_d002019,2,1,1,1
4,d_d008975,3,1,7,1
3,b_b001265,2,2,4,3
1,a_a004618,3,2,7,1
1,d_d009371,2,2,2,1
3,a_a000490,2,1,2,1
2,d_d009662,2,2,1,1
1,d_d012363,1,1,5,1
5,d_d009439,7,1,6,1
1,d_d004404,7,2,4,3
1,d_d002472,8,1,5,3
1,d_d006674,3,2,6,1
3,b_b004064,2,1,1,1
4,d_d003058,7,1,3,1
1,d_d010490,1,1,5,1
1,d_d003053,1,1,5,1
11,c_c002516,6,2,1,1
3,b_b015453,2,1,2,1
2,b_b008580,2,2,3,1
3,c_c001754,2,1,4,1
1,d_d001765,8,2,3,1
3,d_d000128,2,1,1,1
3,d_d002954,2,2,1,1
1,a_a004327,1,1,6,1
1,a_a000927,1,1,7,3
2,d_d008966,3,2,6,1
6,d_d001849,7,1,4,1
5,d_d002757,7,2,3,1
1,c_c000121,8,1,4,3
2,d_d002850,2,2,4,2
1,d_d004467,1,1,4,1
5,d_d001624,6,1,4,1
1,d_d009543,8,2,3,1
