TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
b_b011620,B04,b011620,2;4;7;,2022-10-28,2022-10-29,,경상권에 거주하는 39세 이하 커플,2;4;7;,4;21;28
b_b002436,B04,b002436,22;23;4;,2022-08-19,2022-08-22,자가용,경상권 외에 거주하는 39세 이하 커플,22;23;4;,4;23;22
b_b006704,B01,b006704,1;4;,2022-10-02,2022-10-03,자가용,,1;4;,4;1;2
b_b008200,B03,b008200,4;9;,2022-10-15,2022-10-16,자가용,,4;9;,9;1;28
b_b009751,B03,b009751,1;22;,2022-10-21,2022-10-22,자가용,,1;22;,21;12;1
b_b014209,B01,b014209,10;2;23;,2022-10-29,2022-10-31,자가용,,10;2;23;,10;2;23
b_b001972,B03,b001972,22;27;5;6;7;,2022-08-19,2022-08-22,대중교통 등,,22;27;5;6;7;,7;3;5
b_b003199,B01,b003199,2;22;5;7;8;,2022-09-03,2022-09-05,자가용,수도권/강원에 거주하는 39세 이하 3인 이상 친구,2;22;5;7;8;,5;2;7
b_b006585,B01,b006585,1;2;22;5;,2022-10-16,2022-10-17,자가용,,1;2;22;5;,1;22;26
b_b016268,B01,b016268,1;22;4;5;7;,2022-11-06,2022-11-08,대중교통 등,,1;22;4;5;7;,5;1;22
b_b004424,B06,b004424,11;22;,2022-09-24,2022-09-26,자가용,,11;22;,2;11;22
b_b011644,B01,b011644,22;24;,2022-11-01,2022-11-02,,,22;24;,12;3;22
b_b000028,B01,b000028,1;21;23;4;6;,2022-08-19,2022-08-21,자가용,,2;,21;23;6
b_b011769,B03,b011769,1;21;22;27;3;,2022-10-29,2022-10-30,자가용,,1;21;22;27;3;,1;3;22
b_b008559,B01,b008559,1;2;22;27;,2022-10-15,2022-10-17,대중교통 등,수도권/강원에 거주하는 39세 이하 커플,1;2;22;27;,2;22;21
b_b003987,B01,b003987,1;3;5;8;,2022-09-30,2022-10-02,자가용,수도권/강원에 거주하는 39세 이하 커플,1;3;5;8;,8;2;5
b_b005894,B01,b005894,22;24;6;9;,2022-10-15,2022-10-17,자가용,,22;24;6;9;,22;24;3
b_b012496,B02,b012496,1;21;22;26;4;,2022-10-30,2022-10-31,대중교통 등,,1;21;22;26;4;,1;22;4
b_b002329,B01,b002329,3;5;,2022-08-19,2022-08-21,자가용,,3;5;,23;22;5
b_b004733,B01,b004733,21;22;24;4;7;,2022-10-06,2022-10-08,대중교통 등,,21;22;24;4;7;,7;22;21
b_b005003,B01,b005003,21;22;27;4;,2022-10-01,2022-10-03,자가용,,21;22;27;4;,22;21;27
b_b002397,B01,b002397,3;4;,2022-08-21,2022-08-25,자가용,,3;4;,3;11;13
b_b014005,B06,b014005,2;3;4;5;6;,2022-10-27,2022-10-29,대중교통 등,,2;3;4;5;6;,3;1;5
b_b000556,B01,b000556,10;2;22;23;3;,2022-08-25,2022-08-28,자가용,,1;,22;23;6
b_b018639,B06,b018639,3;,2022-11-11,2022-11-12,,,3;,3;4;12
b_b004828,B01,b004828,28;8;,2022-09-24,2022-09-26,자가용,,28;8;,8;3;28
b_b000602,B04,b000602,1;21;22;4;7;,2022-08-05,2022-08-08,대중교통 등,,1;,1;4;22
b_b011527,B03,b011527,22;24;3;4;,2022-10-25,2022-10-26,자가용,,22;24;3;4;,2;3;22
b_b015671,B01,b015671,2;24;26;28;,2022-10-29,2022-10-30,자가용,,2;24;26;28;,5;6;21
b_b004765,B06,b004765,11;26;6;,2022-09-24,2022-09-26,자가용,,11;26;6;,3;6;26
b_b002034,B06,b002034,21;22;24;27;28;,2022-08-27,2022-08-29,대중교통 등,,21;22;24;27;28;,28;27;21
b_b015668,B03,b015668,22;24;25;26;,2022-10-30,2022-10-31,자가용,,22;24;25;26;,25;22;26
b_b006716,B04,b006716,1;6;9;,2022-10-22,2022-10-23,,경상권에 거주하는 39세 이하 커플,1;6;9;,1;6;9
b_b015761,B02,b015761,1;22;26;27;,2022-10-29,2022-10-31,자가용,,1;22;26;27;,1;22;26
b_b008569,B04,b008569,1;28;3;5;,2022-10-22,2022-10-24,대중교통 등,,1;28;3;5;,28;9;1
b_b001450,B03,b001450,1;27;28;3;6;,2022-08-27,2022-08-29,자가용,,1;27;28;3;6;,6;9;3
b_b010947,B04,b010947,4;1;10;,2022-10-29,2022-10-30,자가용,경상권에 거주하는 39세 이하 커플,4;1;10;,1;4;6
b_b007145,B04,b007145,6;,2022-10-10,2022-10-11,,,6;,6;9;1
b_b005429,B03,b005429,1;2;3;4;6;,2022-10-01,2022-10-03,대중교통 등,,1;2;3;4;6;,4;3;6
b_b001917,B04,b001917,1;12;3;4;7;,2022-08-22,2022-08-25,대중교통 등,,1;12;3;4;7;,1;22;7
b_b014634,B01,b014634,23;,2022-11-04,2022-11-06,자가용,,23;,23;6;1
b_b006559,B05,b006559,21;22;27;24;,2022-10-08,2022-10-10,자가용,,21;22;27;24;,21;6;3
b_b016361,B01,b016361,1;2;22;3;4;,2022-11-03,2022-11-04,자가용,,1;2;22;3;4;,12;22;24
b_b002864,B01,b002864,12;2;22;4;,2022-08-28,2022-08-30,자가용,,12;2;22;4;,2;22;4
b_b014099,B01,b014099,1;22;23;4;6;,2022-10-28,2022-10-30,자가용,수도권/강원에 거주하는 40세 이상 3인 이상 친구,1;22;23;4;6;,4;23;22
b_b006425,B01,b006425,22;26;4;,2022-10-15,2022-10-16,,,22;26;4;,4;22;26
b_b012273,B02,b012273,1;2;22;4;6;,2022-10-30,2022-10-31,대중교통 등,,1;2;22;4;6;,6;2;1
b_b004866,B03,b004866,21;24;,2022-09-24,2022-09-25,자가용,,21;24;,24;21;27
b_b006314,B04,b006314,1;2;3;4;9;,2022-10-01,2022-10-02,자가용,,1;2;3;4;9;,24;3;13
b_b004239,B01,b004239,22;26;28;5;,2022-09-26,2022-09-28,자가용,수도권/강원에 거주하는 39세 이하 커플,22;26;28;5;,26;22;21
b_b006377,B03,b006377,12;22;3;,2022-09-30,2022-10-01,대중교통 등,경상권에 거주하는 39세 이하 커플,12;22;3;,3;6;22
b_b011064,B06,b011064,24;6;9;,2022-10-31,2022-11-01,,,24;6;9;,9;6;4
b_b010107,B01,b010107,21;27;,2022-11-04,2022-11-05,,,21;27;,21;25;27
b_b005784,B05,b005784,23;6;,2022-10-29,2022-10-31,자가용,,23;6;,6;23;27
b_b004325,B03,b004325,8;,2022-09-24,2022-09-26,자가용,,8;,3;12;21
b_b015464,B01,b015464,1;21;28;5;7;,2022-10-31,2022-11-03,자가용,,1;21;28;5;7;,21;28;1
b_b013989,B03,b013989,21;3;,2022-10-30,2022-10-31,자가용,경상권에 거주하는 40세 이상 부부,21;3;,22;21;3
b_b002845,B01,b002845,1;24;26;4;6;,2022-08-19,2022-08-21,자가용,,1;24;26;4;6;,22;26;6
