TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
a_a017667,A01,a017667,1;21;,2022-11-12,2022-11-13,,,1;21;,1;4;22
a_a013785,A03,a013785,22;26;6;,2022-10-29,2022-10-30,자가용,,22;26;6;,6;11;22
a_a015114,A01,a015114,2;4;6;,2022-10-29,2022-10-30,대중교통 등,,2;4;6;,1;6;22
a_a000124,A01,a000124,22;23;26;27;4;,2022-08-23,2022-08-27,대중교통 등,수도권 외 거주 39세 이하 커플,2;,23;26;22
a_a001447,A01,a001447,1;26;6;,2022-08-28,2022-08-29,자가용,수도권 거주 39세 이하 커플,1;26;6;,1;6;24
a_a005969,A03,a005969,12;,2022-10-02,2022-10-03,자가용,,12;,21;12;27
a_a002209,A01,a002209,1;11;3;4;6;,2022-09-10,2022-09-12,대중교통 등,,1;11;3;4;6;,6;23;3
a_a004771,A03,a004771,1;23;4;7;,2022-10-08,2022-10-09,대중교통 등,,1;23;4;7;,3;22;24
a_a002668,A03,a002668,1;11;2;4;9;,2022-09-25,2022-09-26,자가용,수도권 거주 40세 이상 자녀 동반,1;11;2;4;9;,24;5;21
a_a007192,A03,a007192,11;,2022-10-13,2022-10-14,,,11;,11;24;21
a_a003309,A03,a003309,1;2;5;,2022-09-25,2022-09-26,대중교통 등,,1;2;5;,5;1;21
a_a014374,A03,a014374,1;24;9;,2022-10-30,2022-10-31,자가용,수도권 거주 39세 이하 부부,1;24;9;,3;9;22
a_a011873,A01,a011873,1;21;22;24;26;,2022-10-27,2022-10-28,대중교통 등,,1;21;22;24;26;,3;22;1
a_a007603,A02,a007603,2;22;4;,2022-10-23,2022-10-24,,,2;22;4;,2;22;26
a_a007267,A01,a007267,1;6;,2022-10-15,2022-10-16,,,1;6;,1;6;4
a_a003144,A01,a003144,22;25;1;4;21;8;,2022-10-31,2022-11-02,대중교통 등,,22;25;1;4;21;8;,25;21;22
a_a008052,A01,a008052,22;6;,2022-10-27,2022-10-28,,,22;6;,6;22;26
a_a001736,A03,a001736,1;2;22;24;27;,2022-09-24,2022-09-25,자가용,,1;2;22;24;27;,24;22;27
a_a017889,A01,a017889,22;,2022-11-11,2022-11-12,,,22;,22;28;6
a_a000797,A03,a000797,2;22;26;3;6;,2022-08-21,2022-08-22,자가용,수도권 거주 39세 이하 부부,2;22;26;3;6;,2;22;6
a_a004637,A01,a004637,1;,2022-10-15,2022-10-16,대중교통 등,수도권 거주 39세 이하 커플,1;,1;4;2
a_a004915,A03,a004915,1;21;22;27;,2022-10-01,2022-10-02,대중교통 등,수도권 거주 40세 이상 부부,1;21;22;27;,21;22;6
a_a001492,A01,a001492,1;28;3;,2022-08-26,2022-08-29,자가용,,1;28;3;,1;6;23
a_a009822,A03,a009822,11;22;3;6;9;,2022-10-28,2022-10-30,대중교통 등,,11;22;3;6;9;,1;3;11
a_a000898,A01,a000898,1;23;3;4;6;,2022-08-20,2022-08-23,대중교통 등,,1;23;3;4;6;,23;1;3
a_a003370,A03,a003370,1;2;27;4;6;,2022-09-26,2022-09-29,자가용,수도권 거주 39세 이하 커플,1;2;27;4;6;,10;27;2
a_a006463,A03,a006463,27;,2022-10-09,2022-10-10,자가용,,27;,13;27;5
a_a014518,A03,a014518,22;26;8;,2022-10-30,2022-10-31,자가용,,22;26;8;,8;22;26
a_a008580,A03,a008580,1;23;25;5;8;,2022-10-29,2022-11-01,자가용,수도권 거주 39세 이하 커플,1;23;25;5;8;,25;10;22
b_b012272,A01,b012272,4;21;,2022-11-05,2022-11-07,자가용,,4;21;,21;4;22
a_a007144,A02,a007144,4;24;21;22;,2022-10-22,2022-10-23,대중교통 등,,4;24;21;22;,21;6;3
a_a010137,A01,a010137,1;22;4;,2022-10-21,2022-10-22,자가용,,1;22;4;,3;22;1
a_a006575,A01,a006575,1;22;24;26;28;,2022-10-08,2022-10-09,대중교통 등,,1;22;24;26;28;,1;26;24
a_a017871,A03,a017871,11;3;9;,2022-11-12,2022-11-13,,수도권 거주 40세 이상 자녀 동반,11;3;9;,11;6;21
