TRAVEL_ID,VISIT_AREA_NM,SI,Dong_Eup,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,DGSTFN_div_mean,REVISIT_INTENTION_div_mean,RCMDTN_INTENTION_div_mean,new_variable,new_variable_renewed
d_d006164,ICC제주국제컨벤션센터,서귀포,중문동,3,4.0,4.0,3.0,30.0,0,d006164,1,여,20,0,6,1,1,2,3,6,1,7,1.0,1,0,1.0,1.1428571428571428,1.0,0.09701454919786276,0.1203727979034215
d_d002089,산방산탄산온천,서귀포,안덕면,6,5.0,5.0,5.0,120.0,0,d002089,22,여,20,0,3,2,3,5,2,5,3,5,2.0,1,1,1.0526315789473684,1.1111111111111112,1.0526315789473684,0.12955293338447585,0.12196670396638855
d_d001861,윈드1947카트테마파크,서귀포,토평동,5,5.0,5.0,5.0,120.0,0,d001861,6,여,20,0,3,2,3,4,6,5,5,3,2.0,1,0,1.0526315789473684,1.0,1.0,0.023219355656144205,0.028343416708171764
d_d003833,항파두리 항몽유적지,제주,애월읍,2,4.0,3.0,4.0,30.0,1,d003833,9,남,40,1,2,1,2,2,1,5,1,5,1.0,3,2,1.0,1.0,1.0,0.0,0.0
d_d001862,서귀포매일올레시장,서귀포,서귀동,4,4.0,4.0,4.0,30.0,0,d001862,22,남,30,0,1,1,1,1,4,4,7,4,3.0,1,1,1.0666666666666667,1.1428571428571428,1.1428571428571428,0.2102369512548353,0.1562744590671058
d_d005964,협재해수욕장,제주,한림읍,1,5.0,5.0,5.0,60.0,1,d005964,22,여,20,0,1,1,2,4,4,2,7,6,2.0,6,1,1.1111111111111112,1.25,1.1111111111111112,0.2839806038793417,0.27048849827046156
d_d007377,휴애리자연생활공원,서귀포,남원읍,1,3.0,4.0,4.0,60.0,1,d007377,2,남,20,1,6,7,5,3,2,3,6,7,4.0,3,0,0.6923076923076924,1.1428571428571428,0.8888888888888888,-0.10391587924107398,-0.045327176698198225
d_d004399,롯데마트 제주점,제주,노형동,4,4.0,5.0,4.0,60.0,1,d004399,2,여,30,0,3,2,2,2,3,5,2,6,1.0,3,2,1.0,1.0,1.0,0.0,0.0
d_d007434,산방산탄산온천,서귀포,안덕면,6,4.0,4.0,5.0,90.0,1,d007434,10,여,20,0,4,5,4,6,6,3,7,2,1.0,4,2,1.1428571428571428,1.1428571428571428,1.25,0.3067081464455032,0.1973049289684592
d_d002732,제주동문시장,제주,일도일동,4,5.0,5.0,5.0,30.0,1,d002732,22,여,30,0,3,3,2,3,4,4,6,7,1.0,3,1,1.0,1.0,1.0,0.0,0.0
