TRAVEL_ID,VISIT_AREA_NM,SI,Dong_Eup,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,DGSTFN_div_mean,REVISIT_INTENTION_div_mean,RCMDTN_INTENTION_div_mean,new_variable,RESIDENCE_TIME_MIN_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean
d_d007770,씽씽전기자전거,제주,한림읍,5,5.0,5.0,5.0,60.0,0,d007770,26,여,20,0,4,2,2,4,6,3,3,7,1.0,3,2,1.0526315789473684,1.1111111111111112,1.1111111111111112,0.16386161920792605,60.0,0.0,2.0
d_d007770,서귀포매일올레시장,서귀포,서귀동,4,4.0,4.0,4.0,30.0,1,d007770,26,여,20,0,4,2,2,4,6,3,3,7,1.0,3,2,0.8421052631578947,0.8888888888888888,0.8888888888888888,-0.21030033052021457,53.96396396396396,0.5255255255255256,1.6396396396396395
d_d007770,쇠소깍제트보트,서귀포,하효동,5,5.0,4.0,4.0,30.0,0,d007770,26,여,20,0,4,2,2,4,6,3,3,7,1.0,3,2,1.0526315789473684,0.8888888888888888,0.8888888888888888,-0.1174229078956376,30.0,0.0,2.5
d_d007803,제주동문시장,제주,일도일동,4,4.0,4.0,4.0,30.0,1,d007803,22,남,30,0,2,1,3,4,6,5,6,6,3.0,6,3,1.0,1.0,0.8888888888888888,-0.06518650306455515,51.85929648241206,0.5527638190954773,1.4221105527638191
d_d007803,오설록티뮤지엄,서귀포,안덕면,3,4.0,4.0,5.0,30.0,1,d007803,22,남,30,0,2,1,3,4,6,5,6,6,3.0,6,3,1.0,1.0,1.1111111111111112,0.06518650306455515,64.25196850393701,0.4409448818897638,1.2519685039370079
d_d007809,함덕해수욕장,제주,조천읍,1,3.0,2.0,3.0,90.0,0,d007809,5,여,20,0,4,3,2,5,4,6,6,7,2.0,1,3,0.6521739130434783,0.47619047619047616,0.6818181818181818,-0.6958401090904905,57.84,0.564,1.608
d_d007809,메이즈랜드,제주,구좌읍,6,5.0,4.0,4.0,90.0,0,d007809,5,여,20,0,4,3,2,5,4,6,6,7,2.0,1,3,1.0869565217391306,0.9523809523809523,0.9090909090909091,-0.04731018097146653,70.9090909090909,0.13636363636363635,2.727272727272727
d_d007809,제주아트서커스,서귀포,안덕면,3,5.0,5.0,5.0,90.0,0,d007809,5,여,20,0,4,3,2,5,4,6,6,7,2.0,1,3,1.0869565217391306,1.1904761904761905,1.1363636363636362,0.24771676335398574,80.0,0.1111111111111111,2.2777777777777777
d_d007809,서귀포향토오일시장,서귀포,동홍동,4,5.0,5.0,5.0,30.0,0,d007809,5,여,20,0,4,3,2,5,4,6,6,7,2.0,1,3,1.0869565217391306,1.1904761904761905,1.1363636363636362,0.24771676335398574,36.0,0.4,3.0
d_d007809,카멜리아힐,서귀포,안덕면,1,5.0,5.0,5.0,60.0,0,d007809,5,여,20,0,4,3,2,5,4,6,6,7,2.0,1,3,1.0869565217391306,1.1904761904761905,1.1363636363636362,0.24771676335398574,81.57894736842105,0.22807017543859648,2.017543859649123
d_d007816,퍼스트짐 신서귀포점,서귀포,법환동,5,4.0,4.0,4.0,0.0,0,d007816,24,여,20,0,7,2,1,6,1,4,6,6,2.0,2,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
d_d007819,신화관 제주신화월드호텔앤리조트,서귀포,안덕면,6,4.0,4.0,4.0,60.0,0,d007819,2,여,30,0,6,1,1,1,4,1,1,7,3.0,1,3,1.0666666666666667,1.0666666666666667,1.0666666666666667,0.11379654196218505,45.0,0.0,2.0
d_d007819,신화워터파크,서귀포,안덕면,6,3.0,3.0,3.0,180.0,0,d007819,2,여,30,0,6,1,1,1,4,1,1,7,3.0,1,3,0.8,0.8,0.8,-0.3413896258865552,165.0,0.25,3.4166666666666665
d_d007819,신화테마파크,서귀포,안덕면,6,4.0,4.0,4.0,30.0,0,d007819,2,여,30,0,6,1,1,1,4,1,1,7,3.0,1,3,1.0666666666666667,1.0666666666666667,1.0666666666666667,0.11379654196218505,93.125,0.4791666666666667,2.3333333333333335
d_d007819,신화테마파크,서귀포,안덕면,6,4.0,4.0,4.0,120.0,0,d007819,2,여,30,0,6,1,1,1,4,1,1,7,3.0,1,3,1.0666666666666667,1.0666666666666667,1.0666666666666667,0.11379654196218505,93.125,0.4791666666666667,2.3333333333333335
d_d007825,성산일출봉,서귀포,성산읍,2,4.0,4.0,4.0,30.0,0,d007825,5,남,20,0,3,1,1,6,7,2,5,7,3.0,4,1,1.0,1.0,1.0,0.0,65.390625,0.578125,1.5625
d_d007825,함덕해수욕장,제주,조천읍,1,4.0,4.0,4.0,30.0,0,d007825,5,남,20,0,3,1,1,6,7,2,5,7,3.0,4,1,1.0,1.0,1.0,0.0,57.84,0.564,1.608
d_d007825,세리월드,서귀포,법환동,6,4.0,4.0,4.0,30.0,0,d007825,5,남,20,0,3,1,1,6,7,2,5,7,3.0,4,1,1.0,1.0,1.0,0.0,54.0,0.0,2.6
d_d007834,섭지코지,서귀포,성산읍,1,4.0,4.0,5.0,30.0,0,d007834,1,여,20,0,2,1,2,2,2,6,6,6,7.0,4,1,1.0,1.0,1.1111111111111112,0.06518650306455515,61.0,0.39166666666666666,1.65
d_d007834,다정이네 올레시장본점,서귀포,서귀동,4,4.0,4.0,4.0,30.0,0,d007834,1,여,20,0,2,1,2,2,2,6,6,6,7.0,4,1,1.0,1.0,0.8888888888888888,-0.06518650306455515,30.0,0.0,1.0
d_d007848,중문대포주상절리대,서귀포,중문동,1,5.0,5.0,5.0,60.0,0,d007848,22,여,20,0,4,1,2,4,2,2,7,7,9.0,3,4,1.0,1.0,1.0,0.0,48.28125,0.328125,1.703125
d_d007848,제주동문시장,제주,일도일동,4,5.0,5.0,5.0,90.0,0,d007848,22,여,20,0,4,1,2,4,2,2,7,7,9.0,3,4,1.0,1.0,1.0,0.0,51.85929648241206,0.5527638190954773,1.4221105527638191
d_d007848,용두암,제주,용담2동,1,5.0,5.0,5.0,30.0,0,d007848,22,여,20,0,4,1,2,4,2,2,7,7,9.0,3,4,1.0,1.0,1.0,0.0,32.58620689655172,0.41379310344827586,1.793103448275862
d_d007848,협재해수욕장,제주,한림읍,1,5.0,5.0,5.0,30.0,0,d007848,22,여,20,0,4,1,2,4,2,2,7,7,9.0,3,4,1.0,1.0,1.0,0.0,66.61764705882354,0.5343137254901961,1.4754901960784315
d_d007863,산방산탄산온천,서귀포,안덕면,6,4.0,4.0,4.0,150.0,0,d007863,10,여,20,0,5,2,6,4,5,5,4,5,9.0,4,3,1.0,1.25,1.1764705882352942,0.2733069659634946,126.66666666666667,0.3492063492063492,1.1111111111111112
d_d007863,김녕해수욕장,제주,구좌읍,1,4.0,3.0,4.0,60.0,0,d007863,10,여,20,0,5,2,6,4,5,5,4,5,9.0,4,3,1.0,0.9375,1.1764705882352942,0.06108763959316964,69.76744186046511,0.3372093023255814,1.430232558139535
d_d007863,성산일출봉,서귀포,성산읍,1,4.0,3.0,3.0,30.0,1,d007863,10,여,20,0,5,2,6,4,5,5,4,5,9.0,4,3,1.0,0.9375,0.8823529411764706,-0.11146486851888807,65.390625,0.578125,1.5625
d_d007863,절물자연휴양림,제주,봉개동,1,4.0,3.0,3.0,90.0,0,d007863,10,여,20,0,5,2,6,4,5,5,4,5,9.0,4,3,1.0,0.9375,0.8823529411764706,-0.11146486851888807,80.0,0.18518518518518517,1.8518518518518519
d_d007863,서귀포매일올레시장,서귀포,서귀동,4,4.0,3.0,3.0,30.0,1,d007863,10,여,20,0,5,2,6,4,5,5,4,5,9.0,4,3,1.0,0.9375,0.8823529411764706,-0.11146486851888807,53.96396396396396,0.5255255255255256,1.6396396396396395
d_d007864,플레이스캠프제주,서귀포,성산읍,4,2.0,2.0,2.0,60.0,0,d007864,23,남,20,0,2,1,3,1,5,3,2,2,9.0,4,1,1.0,1.0,1.0,0.0,42.0,0.6,1.2
d_d007870,쇠소깍,서귀포,하효동,1,5.0,4.0,4.0,30.0,0,d007870,4,여,30,0,5,6,4,5,4,3,2,3,2.0,3,2,1.153846153846154,1.2631578947368423,1.0434782608695652,0.27209073643620363,57.16981132075472,0.3584905660377358,1.679245283018868
