TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
d_d001976,호텔 더본 제주,10,1,,,,1,1938500328.0,호텔더본제주,제주특별자치도 서귀포시 색달로 18,제주특별자치도 서귀포시 색달동 2138,3350132.0,5013011900.0,2022-10-16 08:39:00.000,1.0,9900,호텔비
d_d010548,브라운스위트제주 호텔앤리조트,1,1,Y,2022-11-06 00:00:00.000,2022-11-07 00:00:00.000,2,,브라운 스위트 제주 호텔 앤 리조트,제주특별자치도 서귀포시 성산읍 고성오조로 94,,3350018.0,5013025924.0,2022-10-12 00:00:00.000,1.0,120450,호텔비
d_d001593,윈스카이호텔,1,1,N,2022-09-27 00:00:00.000,2022-09-28 00:00:00.000,1,8248102515.0,주식회사인터파크,서울 강남구 삼성로 512,,3122005.0,1168010500.0,2022-09-19 00:00:00.000,1.0,69350,글로스터 호텔 제주
d_d000190,호텔휴식 서귀포,1,1,Y,2022-08-20 00:00:00.000,2022-08-21 00:00:00.000,2,2208742885.0,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713.0,1168010600.0,2022-08-19 00:38:00.000,1.0,24079,"서귀포 호텔 휴식 ,서귀포"
d_d002094,세오니네민박,0,8,Y,2022-10-13 00:00:00.000,2022-10-14 00:00:00.000,2,,,제주특별자치도 서귀포시 성산읍 난고로34번길 145,제주특별자치도 서귀포시 성산읍 고성리 1623-1,,,,1.0,80870,
d_d002983,안녕김녕씨,0,7,Y,2022-10-17 00:00:00.000,2022-10-20 00:00:00.000,1,,,제주특별자치도 제주시 구좌읍 구좌해안로 178,제주특별자치도 제주시 구좌읍 김녕리 6107-1,,,,1.0,340000,
d_d000209,아이브리조트,1,4,Y,2022-09-02 00:00:00.000,2022-09-04 00:00:00.000,2,,아이브 리조트 제주(IVE RESORT JEJU),제주특별자치도 서귀포시 산록남로 1966-34,제주특별자치도 서귀포시 영남동 224,3020010.0,5013012200.0,2022-09-02 00:00:00.000,1.0,72000,1X스튜디오 더블
d_d006869,신신호텔 천지연,1,1,Y,2022-10-21 00:00:00.000,2022-10-23 00:00:00.000,2,,신신호텔천지연,제주특별자치도 서귀포시 서문로 42-1,제주특별자치도 서귀포시 서귀동 325-1,3350343.0,5013010100.0,2022-10-22 00:00:00.000,1.0,74676,
d_d005539,친정집,0,10,N,2022-10-15 00:00:00.000,2022-10-16 00:00:00.000,1,,,사계남로176-1,,,,,,0,
d_d001872,바람에스치운다,0,7,Y,2022-10-16 00:00:00.000,2022-10-18 00:00:00.000,1,,,제주특별자치도 제주시 구좌읍 문주란로 121-1,제주특별자치도 제주시 구좌읍 하도리 368-6,,,,1.0,164457,
