TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
c001435,28,남,40,6,1.0,2.0,5,2.0,,6,9.0,3,6,42,42770,44,44825,48,48840,1,1,1,4,3,6,2,5,서울특별시,전북,자녀 동반 여행,2022-09-03~2022-09-05,1.0,2.0,8.0,4
c013235,44,남,20,6,3.0,1.0,1,4.0,,4,,3,5,50,50130,48,48310,42,42150,2,3,3,4,4,5,3,5,충청남도,전남,나홀로 여행,2022-11-07~2022-11-07,1.0,6.0,7.0,0
c002684,42,남,30,7,1.0,2.0,2,3.0,,3,5.0,2,1,50,50110,42,42150,26,26230,4,2,2,2,2,3,2,3,강원도,충북,2인 가족 여행,2022-10-02~2022-10-03,1.0,3.0,2.0,1
c009685,11,여,20,6,1.0,1.0,1,3.0,,4,,2,1,42,42150,26,26350,30,30140,2,4,4,3,3,4,5,4,서울특별시,대전,2인 여행(가족 외),2022-10-29~2022-10-30,1.0,3.0,2.0,1
c002414,41,여,30,6,1.0,4.0,2,2.0,,4,4.0,3,5,41,41590,41,41220,44,44130,3,4,5,4,3,5,6,6,경기도,전북,2인 여행(가족 외),2022-09-10~2022-09-11,3.0,1.0,2.0,3
c002719,11,남,20,6,1.0,1.0,1,3.0,,4,,2,1,42,42820,48,48850,42,42230,1,2,1,3,2,1,2,7,서울특별시,충북,나홀로 여행,2022-09-23~2022-09-25,6.0,1.0,2.0,0
c008902,30,여,20,6,1.0,1.0,2,3.0,,4,5.0,2,3,26,26500,27,27260,43,43110,4,4,5,3,2,3,6,6,대전광역시,충북,2인 여행(가족 외),2022-10-27~2022-10-27,1.0,8.0,,1
c004417,11,여,20,6,1.0,1.0,1,3.0,,4,,3,6,50,50130,26,26350,46,46150,5,3,1,3,2,4,3,5,서울특별시,대전,나홀로 여행,2022-10-22~2022-10-22,1.0,7.0,2.0,0
c001591,11,남,20,4,1.0,1.0,2,3.0,,4,4.0,3,5,42,42210,11,11650,50,50130,1,1,1,7,1,7,7,1,서울특별시,전남,2인 여행(가족 외),2022-09-02~2022-09-04,1.0,3.0,8.0,1
c013231,29,여,20,6,2.0,1.0,1,12.0,,2,,3,6,50,50110,50,50130,26,26500,1,2,2,4,2,4,3,4,광주광역시,전남,나홀로 여행,2022-11-05~2022-11-05,1.0,2.0,7.0,0
