TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
d003586,50,여,20,4,1.0,1.0,3,9.0,,2,4.0,3,1,11,11110,26,26350,11,11560,6,1,1,3,4,1,2,7,제주특별자치도,제주,나홀로 여행,2022-10-09~2022-10-10,1.0,4.0,2.0,1
d004993,50,여,20,6,1.0,1.0,1,3.0,,3,,2,1,26,26290,11,11680,50,50130,1,1,1,2,6,1,7,7,제주특별자치도,제주,2인 여행(가족 외),2022-10-15~2022-10-16,3.0,2.0,1.0,1
d003574,50,남,20,5,3.0,1.0,1,12.0,,3,,2,1,11,11305,28,28185,11,11560,7,5,2,7,4,3,6,5,제주특별자치도,제주,나홀로 여행,2022-10-20~2022-10-21,2.0,1.0,5.0,0
d003223,50,남,20,6,2.0,1.0,1,12.0,,2,,2,2,50,50130,11,11110,46,46130,2,4,1,5,3,2,2,5,제주특별자치도,제주,2인 여행(가족 외),2022-10-09~2022-10-09,7.0,2.0,3.0,1
d003158,50,여,20,5,1.0,1.0,1,4.0,,4,,2,2,50,50130,50,50110,41,41590,3,6,2,1,2,2,6,2,제주특별자치도,제주,2인 여행(가족 외),2022-10-17~2022-10-18,6.0,3.0,2.0,1
d005226,11,여,20,6,1.0,1.0,1,2.0,,4,,1,1,42,42150,26,26140,50,50130,3,1,1,4,6,3,3,6,서울특별시,제주,2인 여행(가족 외),2022-10-09~2022-10-12,3.0,7.0,2.0,1
d000740,36,여,40,6,1.0,2.0,3,3.0,,7,12.0,2,1,50,50130,30,30230,41,41220,4,2,3,1,6,5,3,6,세종특별자치시,제주,3인 이상 여행(가족 외),2022-08-28~2022-09-02,2.0,1.0,8.0,2
d000145,11,여,20,6,5.0,1.0,4,,2.0,2,6.0,3,4,50,50110,45,45190,42,42210,2,1,4,5,6,4,5,5,서울특별시,제주,부모 동반 여행,2022-08-11~2022-08-13,3.0,9.0,1.0,3
d000175,26,여,30,7,1.0,2.0,4,3.0,,6,6.0,3,5,50,50110,11,11710,26,26350,6,1,2,1,6,7,1,2,부산광역시,제주,자녀 동반 여행,2022-08-22~2022-08-25,5.0,3.0,8.0,3
d003133,11,남,50,6,1.0,2.0,3,2.0,,12,12.0,3,6,42,42820,50,50130,26,26350,2,1,2,3,3,2,2,4,서울특별시,제주,2인 가족 여행,2022-10-12~2022-10-14,2.0,1.0,6.0,1
d012361,50,남,30,6,1.0,1.0,3,3.0,,4,4.0,2,1,50,50130,26,26530,11,11440,1,1,1,3,4,3,2,7,제주특별자치도,제주,2인 여행(가족 외),2022-11-12~2022-11-12,1.0,3.0,7.0,1
d006060,50,여,30,6,1.0,1.0,1,3.0,,4,,3,6,50,50110,50,50130,26,26350,2,1,1,2,3,1,4,2,제주특별자치도,제주,나홀로 여행,2022-10-25~2022-10-27,2.0,1.0,4.0,0
d003507,27,여,30,6,1.0,2.0,3,4.0,,4,8.0,2,2,47,47130,47,47110,47,47280,2,7,7,2,6,2,4,2,대구광역시,제주,3인 이상 여행(가족 외),2022-10-29~2022-10-31,7.0,10.0,6.0,3
d004802,50,여,30,6,1.0,1.0,1,3.0,,4,,2,4,48,48310,50,50130,26,26110,4,2,2,4,5,3,2,7,제주특별자치도,제주,나홀로 여행,2022-10-22~2022-10-23,2.0,7.0,5.0,0
d012453,50,여,20,6,1.0,1.0,4,3.0,,4,7.0,2,1,50,50110,11,11680,27,27260,2,4,3,2,2,3,6,3,제주특별자치도,제주,나홀로 여행,2022-11-10~2022-11-10,4.0,2.0,1.0,0
d010389,11,여,30,6,1.0,1.0,1,3.0,,5,,3,5,50,50110,26,26710,11,11680,4,3,3,5,3,3,6,6,서울특별시,제주,3인 이상 여행(가족 외),2022-11-03~2022-11-06,5.0,7.0,6.0,2
d002247,41,여,30,5,1.0,2.0,4,3.0,,3,6.0,3,5,50,50130,26,26350,42,42760,4,2,1,1,4,1,1,7,경기도,제주,3인 이상 여행(가족 외),2022-10-08~2022-10-12,2.0,8.0,7.0,3
d010557,41,여,30,6,1.0,1.0,3,9.0,,4,9.0,3,4,50,50130,26,26350,11,11710,4,3,3,3,5,5,5,6,경기도,제주,나홀로 여행,2022-11-05~2022-11-07,5.0,1.0,2.0,0
d001502,30,남,30,6,1.0,1.0,4,3.0,,4,11.0,2,1,50,50110,42,42150,27,27290,1,2,1,4,3,1,6,4,전라북도,제주,3대 동반 여행(친척 포함),2022-09-23~2022-09-25,9.0,3.0,4.0,9
